,No,Kecamatan,Kelurahan,Kode Kel,J_Penduduk,J_P_DBD,J_M_DBD,IR_DBD,CFR_DBD,J_P_DD,J_M_DD,IR_DD,CFR_DD,J_P_N,J_M_Non,IR_Non,CFR_Non,2017,2018,2019,2020,ABJ,Strata_E,Kelas_Endemis,Tnh_pek_bang_hlmn,Tanah Sawah,Tanah Kering,J_RT,J_RW,J_Pdd_Lk,J_Pdd_Pr,J_Kep_Kel,J_KBPaud,J_SD,J_MI,J_SMP,J_MTS,J_SMA,J_MA,J_SMK,J_Siswa,J_PT,J_Dosen,J_Mhs,Mini_Market,Toko Kelontong,Resto_RM,WM_Kedai,BPR,KUD,IRT,Total_T_Ibadah,kop_total,pasar_total,instansi_kesehatan,toko_obat
41,42.0,Mijen,Jatisari,33.74.14.1013,11510.0,14.0,0.0,119.3,0.0,58.0,0.0,494.1,0.0,3.0,0.0,25.56,0.0,7.0,0.0,4.0,14.0,98.9,2.0,Sporadis,40.55,4.71,197.5,109.0,13.0,5864.0,5912.0,3455.0,19.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1744.0,0.0,0.0,0.0,4.0,168.0,3.0,74.0,4.0,0.0,0.0,40.0,0.0,1.0,1.0,7.0
42,43.0,TUGU,Jerakah,33.74.16.1001,2918.0,2.0,0.0,68.0,0.0,4.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,95.88,2.0,Sporadis,84.41,75.9,217.15,18.0,4.0,1405.0,1493.0,951.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1198.0,0.0,0.0,0.0,1.0,25.0,1.0,26.0,1.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0
43,44.0,Candisari,Jomblang,33.74.08.1004,20365.0,2.0,1.0,9.8,4.9,14.0,0.0,68.8,0.0,1.0,0.0,4.91,0.0,10.0,2.0,11.0,2.0,89.64,1.0,Endemis,75.85,0.0,91.06,120.0,15.0,9929.0,10272.0,6579.0,13.0,7.0,0.0,3.0,0.0,1.0,0.0,1.0,3663.0,1.0,11.0,768.0,4.0,63.0,2.0,35.0,0.0,0.0,0.0,74.0,2.0,0.0,4.0,1.0
44,45.0,Semarang Barat,Kalibanteng Kidul,33.74.13.1006,5531.0,1.0,0.0,18.2,0.0,21.0,0.0,381.4,0.0,3.0,0.0,54.49,0.0,0.0,0.0,1.0,1.0,93.63,2.0,Sporadis,69.3,0.0,93.15,37.0,5.0,2671.0,2712.0,1726.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1991.0,0.0,0.0,0.0,7.0,42.0,1.0,32.0,0.0,0.0,0.0,17.0,1.0,0.0,3.0,4.0
45,46.0,Semarang Barat,Kalibanteng Kulon,33.74.13.1005,6941.0,2.0,0.0,28.9,0.0,10.0,0.0,144.7,0.0,1.0,0.0,14.47,0.0,0.0,0.0,0.0,2.0,94.95,2.0,Sporadis,131.0,2.0,199.0,48.0,6.0,3364.0,3413.0,2263.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1513.0,0.0,0.0,0.0,6.0,8.0,0.0,42.0,0.0,0.0,0.0,32.0,1.0,1.0,5.0,5.0
46,47.0,Pedurungan,Kalicari,33.74.06.1012,9533.0,2.0,0.0,20.9,0.0,8.0,0.0,83.4,0.0,3.0,0.0,31.29,0.0,4.0,0.0,4.0,2.0,94.75,2.0,Sporadis,62.0,80.0,80.0,9.0,1.0,4733.0,4776.0,2999.0,8.0,9.0,1.0,3.0,1.0,2.0,0.0,1.0,3493.0,0.0,0.0,0.0,6.0,250.0,3.0,55.0,1.0,0.0,0.0,42.0,0.0,0.0,1.0,10.0
47,48.0,Gayamsari,Kaligawe,33.74.04.1002,10596.0,1.0,0.0,9.4,0.0,1.0,0.0,9.4,0.0,1.0,0.0,9.43,0.0,0.0,0.0,0.0,1.0,94.74,2.0,Sporadis,54.0,0.0,66.4,76.0,10.0,5307.0,5255.0,3296.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,689.0,0.0,0.0,0.0,1.0,50.0,1.0,13.0,0.0,0.0,0.0,41.0,0.0,1.0,0.0,1.0
48,49.0,Ngaliyan,Kalipancur,33.74.15.1005,19844.0,3.0,0.0,15.0,0.0,59.0,0.0,295.5,0.0,5.0,0.0,25.04,0.0,0.0,0.0,3.0,3.0,97.96,2.0,Sporadis,14.61,6.29,14.61,131.0,13.0,10029.0,10134.0,6190.0,13.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,2475.0,0.0,0.0,0.0,7.0,80.0,0.0,1.0,0.0,0.0,0.0,38.0,2.0,0.0,2.0,6.0
49,50.0,Gunungpati,Kalisegoro,33.74.12.1015,3404.0,1.0,0.0,28.9,0.0,8.0,0.0,231.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,93.69,2.0,Sporadis,98.25,83.73,205.63,24.0,4.0,1734.0,1731.0,1067.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,0.0,0.0,0.0,1.0,18.0,2.0,11.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
50,51.0,Candisari,Kaliwiru,33.74.08.1003,3231.0,2.0,0.0,62.1,0.0,6.0,0.0,186.2,0.0,2.0,0.0,62.07,0.0,0.0,0.0,1.0,2.0,84.94,2.0,Sporadis,39.47,0.0,65.51,23.0,4.0,1495.0,1653.0,1075.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,3.0,25.0,6.0,27.0,0.0,0.0,0.0,14.0,2.0,0.0,1.0,4.0
