J_Penduduk;J_P_DBD;J_M_DBD;IR_DBD;CFR_DBD;J_P_DD;J_M_DD;IR_DD;CFR_DD;J_P_N;J_M_Non;IR_Non;CFR_Non;2017;2018;2019;2020;ABJ;Strata_E;Tnh_pek_bang_hlmn;Tanah Sawah;Tanah Kering;J_RT;J_RW;J_Pdd_Lk;J_Pdd_Pr;J_Kep_Kel;J_KBPaud;J_SD;J_MI;J_SMP;J_MTS;J_SMA;J_MA;J_SMK;J_Siswa;J_PT;J_Dosen;J_Mhs;Mini_Market;Toko Kelontong;Resto_RM;WM_Kedai;BPR;KUD;IRT;Total_T_Ibadah;kop_total;pasar_total;instansi_kesehatan;toko_obat
19844;3;0;15;0;59;0;295.5;0;5;0;25.04;0;0;0;3;3;97.96;2;14.61;6.29;14.61;131;13;10029;10134;6190;13;5;0;1;0;0;0;1;2475;0;0;0;7;80;0;1;0;0;0;38;2;0;2;6
3404;1;0;28.9;0;8;0;231.3;0;0;0;0;0;1;0;0;1;93.69;2;98.25;83.73;205.63;24;4;1734;1731;1067;5;2;0;0;0;0;0;0;442;0;0;0;1;18;2;11;0;0;0;23;0;0;0;0
3231;2;0;62.1;0;6;0;186.2;0;2;0;62.07;0;0;0;1;2;84.94;2;39.47;0;65.51;23;4;1495;1653;1075;4;2;0;0;0;0;0;0;251;0;0;0;3;25;6;27;0;0;0;14;2;0;1;4
4719;0;0;0;0;3;0;62.6;0;0;0;0;0;0;0;1;0;96.24;2;62.96;69.43;176.05;26;4;2405;2422;1527;4;2;0;0;0;0;0;0;281;0;0;0;0;38;0;9;0;0;0;20;1;0;0;3
4162;1;0;24.1;0;5;0;120.4;0;1;0;24.07;0;0;0;1;1;96.18;2;77.29;0;83.54;28;4;2030;2168;1493;7;3;0;4;0;1;0;3;2983;1;11;261;8;26;22;35;0;0;0;27;1;0;4;6
4078;0;0;0;0;8;0;198.1;0;0;0;0;0;1;0;1;0;91.54;2;84.7;0;91.8;40;5;1921;2021;1364;9;2;0;5;0;3;0;0;2604;1;339;13759;8;0;10;62;0;0;0;16;0;0;3;17
2937;0;0;0;0;3;0;102.5;0;0;0;0;0;0;0;0;0;89.69;3;52.2;0;53.2;27;5;1412;1498;987;6;1;0;0;0;0;0;3;4467;0;0;0;11;0;8;7;1;0;0;13;0;2;0;26
4061;0;0;0;0;1;0;24.4;0;0;0;0;0;0;1;1;0;95.32;2;42.26;16.83;349.21;25;3;2018;1988;1283;3;2;1;0;0;0;0;0;507;0;0;0;3;15;3;26;0;0;0;19;0;0;2;0
11163;2;0;17.9;0;19;0;169.7;0;1;0;8.93;0;2;6;5;2;85.4;1;36.05;0;49.92;50;6;5494;5537;3628;6;4;0;1;0;0;0;0;1639;0;0;0;4;120;2;24;0;0;0;27;2;1;0;3
7799;0;0;0;0;6;0;77.3;0;0;0;0;0;1;0;2;0;94.05;2;53.6;0;66.1;44;6;3795;3913;2489;8;4;0;2;0;1;0;0;1154;0;0;0;6;80;8;24;2;0;0;31;1;1;5;6
2613;0;0;0;0;5;0;189.8;0;0;0;0;0;0;0;1;0;94.64;2;37.39;92.08;103.77;12;3;1323;1347;896;2;1;0;0;0;0;0;0;208;0;0;0;0;13;0;12;0;0;0;31;0;0;1;0
7233;0;0;0;0;11;0;151.8;0;1;0;13.8;0;1;1;3;0;96.48;2;154.55;0;172.31;6;35;3504;3628;2365;5;3;0;4;0;2;0;2;3641;0;0;0;4;27;7;41;0;0;0;25;0;0;1;3
13626;1;0;7.2;0;5;0;35.9;0;0;0;0;0;2;4;1;1;95.71;1;60.2;0;205.5;117;13;6982;7033;4127;11;4;2;2;1;0;1;3;2078;0;0;0;4;22;3;19;0;0;0;35;0;0;1;1
2528;1;0;39.8;0;3;0;119.5;0;0;0;0;0;0;0;0;1;96.54;2;25.57;0;28.63;17;5;1219;1329;911;3;2;0;1;0;0;0;0;214;0;0;0;0;99;2;5;0;0;0;8;0;5;0;10
4598;0;0;0;0;3;0;65.4;0;0;0;0;0;0;0;0;0;97.99;4;50.3;0;54.3;27;4;2135;2392;1535;3;1;0;1;0;0;0;0;1022;0;0;0;1;0;11;12;0;0;0;20;0;3;0;64
12076;4;0;32.8;0;28;0;229.5;0;3;0;24.59;0;7;0;10;4;95.2;2;93.45;6;143.2;74;9;6095;6214;3760;11;2;1;1;0;0;0;1;1119;2;310;9079;6;90;4;99;1;0;0;36;2;0;3;4
7371;2;0;26.6;0;19;0;252.6;0;0;0;0;0;0;0;0;2;94.4;2;73.34;34;533.65;40;6;3847;3866;2402;9;5;0;1;0;1;0;1;3046;0;0;0;1;0;1;24;0;0;0;39;0;0;0;0
20161;5;0;24.8;0;23;0;114.3;0;1;0;4.97;0;2;1;3;5;94.9;1;148.8;0;174.8;104;13;9900;9987;6275;11;4;0;2;0;2;0;2;1750;0;0;0;2;255;1;166;0;0;0;48;7;1;2;1
3877;2;0;51.8;0;8;0;207.1;0;0;0;0;0;0;0;0;2;94.82;2;25.52;0;29.75;37;5;1951;2076;1395;2;3;0;0;0;0;0;0;328;0;0;0;3;5;34;35;0;0;0;12;0;1;0;2
14176;1;0;7.1;0;28;0;198.1;0;0;0;0;0;2;0;1;1;87.37;2;129.6;0;140.9;82;11;6938;7094;4478;8;3;0;0;0;0;0;0;1204;0;0;0;1;0;4;50;0;0;0;38;1;3;1;2
3655;2;0;54;0;2;0;54;0;0;0;0;0;0;1;6;2;97.54;1;60;14;78.45;31;6;1874;1872;1128;1;1;0;0;0;0;0;0;158;0;0;0;1;35;1;61;0;0;0;13;0;0;1;1
4195;0;0;0;0;4;0;95.4;0;1;0;23.85;0;1;0;1;0;95.74;2;20.75;0;25.25;30;5;2005;2251;1657;2;0;0;0;0;1;0;0;132;0;0;0;3;10;6;50;4;0;0;13;0;1;1;3
6504;0;0;0;0;9;0;138.3;0;1;0;15.36;0;0;0;0;0;93.38;3;103.57;2;109.14;48;9;3095;3260;2112;4;1;0;0;0;0;0;0;491;2;16;452;4;37;18;28;0;0;0;41;0;1;1;2
15241;4;0;26.4;0;7;0;46.2;0;0;0;0;0;2;0;2;4;89.82;2;62.3;0;82.5;91;13;7351;7519;4714;8;3;0;1;0;0;0;0;1318;0;0;0;4;149;5;37;0;0;0;39;1;0;3;3
8224;1;0;11.9;0;2;0;23.8;0;0;0;0;0;5;1;3;1;97.36;1;136.5;0;211.93;49;7;4330;4242;2519;8;2;1;0;0;0;0;0;430;0;0;0;1;9;0;12;0;0;0;31;0;0;0;0
14833;3;0;20.2;0;15;0;101;0;0;0;0;0;3;0;3;3;93.06;2;31.02;0;41.52;87;11;7604;7733;4888;8;5;1;1;0;0;0;0;1216;0;0;0;2;175;10;16;0;0;0;59;0;1;0;2
4490;1;1;23.3;23.3;6;0;139.6;0;0;0;0;0;0;0;0;1;88.8;2;39.6;0;40.1;40;6;2023;2160;1457;5;4;0;1;0;0;0;0;1494;0;0;0;2;20;12;15;0;0;0;22;2;1;5;7
